"alert__week","alert__year","alert__count","confidence__cat"
11,2013,59,"n"
10,2013,1,"h"
10,2013,54,"n"
9,2013,22,"n"
8,2013,46,"n"
7,2013,75,"n"
7,2013,1,"l"
6,2013,62,"n"
5,2013,54,"n"
5,2013,1,"l"
4,2013,16,"n"
3,2013,12,"n"
2,2013,1,"l"
2,2013,69,"n"
1,2013,3,"h"
1,2013,1,"l"
1,2013,119,"n"
52,2012,48,"n"
51,2012,35,"n"
50,2012,21,"n"
49,2012,73,"n"
49,2012,1,"l"
48,2012,70,"n"
47,2012,1,"l"
47,2012,32,"n"
46,2012,60,"n"
45,2012,59,"n"
44,2012,49,"n"
43,2012,53,"n"
42,2012,54,"n"
42,2012,1,"l"
41,2012,1,"l"
41,2012,97,"n"
40,2012,5,"h"
40,2012,2,"l"
40,2012,131,"n"
39,2012,3,"l"
39,2012,15,"h"
39,2012,150,"n"
38,2012,9,"h"
38,2012,13,"l"
38,2012,105,"n"
37,2012,1,"h"
37,2012,29,"l"
37,2012,115,"n"
36,2012,129,"n"
36,2012,5,"h"
36,2012,16,"l"
35,2012,14,"l"
35,2012,52,"h"
35,2012,386,"n"
34,2012,37,"l"
34,2012,65,"h"
34,2012,168,"n"
33,2012,2,"h"
33,2012,7,"l"
33,2012,197,"n"
32,2012,293,"n"
32,2012,3,"l"
32,2012,28,"h"
31,2012,30,"l"
31,2012,27,"h"
31,2012,612,"n"
30,2012,24,"h"
30,2012,300,"n"
30,2012,9,"l"
29,2012,312,"n"
29,2012,47,"h"
29,2012,33,"l"
28,2012,71,"n"
28,2012,5,"h"
28,2012,4,"l"
27,2012,3,"h"
27,2012,183,"n"
27,2012,4,"l"
26,2012,691,"n"
26,2012,56,"l"
26,2012,264,"h"
25,2012,9,"h"
25,2012,115,"n"
25,2012,11,"l"
24,2012,7,"h"
24,2012,3,"l"
24,2012,109,"n"
23,2012,128,"n"
23,2012,9,"l"
23,2012,1,"h"
22,2012,78,"n"
22,2012,16,"l"
22,2012,2,"h"
21,2012,9,"l"
21,2012,2,"h"
21,2012,107,"n"
20,2012,120,"n"
20,2012,7,"l"
20,2012,28,"h"
19,2012,86,"n"
19,2012,1,"h"
19,2012,3,"l"
18,2012,81,"n"
18,2012,2,"l"
17,2012,1,"l"
17,2012,82,"n"
16,2012,62,"n"
15,2012,1,"h"
15,2012,34,"n"
14,2012,3,"h"
14,2012,33,"n"
13,2012,11,"l"
13,2012,55,"h"
13,2012,1100,"n"
12,2012,104,"n"
12,2012,2,"h"
11,2012,16,"h"
11,2012,7,"l"
11,2012,461,"n"
10,2012,6,"l"
10,2012,22,"h"
10,2012,245,"n"
9,2012,52,"h"
9,2012,406,"n"
9,2012,5,"l"
8,2012,297,"n"
8,2012,3,"l"
8,2012,16,"h"
7,2012,186,"n"
7,2012,5,"l"
7,2012,4,"h"
6,2012,4,"h"
6,2012,2,"l"
6,2012,68,"n"
5,2012,1,"h"
5,2012,35,"n"
5,2012,1,"l"
4,2012,44,"n"
4,2012,1,"l"
3,2012,12,"n"
1,2012,4,"n"
