Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;6;10;0;4;3;3;0;1;2;4;4;3;40
1387E;6;8;0;4;3;3;0;0;3;2;5;3;37
1428;8;10;0;4;5;3;0;0;5;4;2;10;51
8175;2;1;0;2;1;1;0;1;2;1;2;0;13
8178D;2;1;0;2;1;1;0;1;2;1;1;0;12
8025;1;0;2;0;1;0;1;0;0;1;2;0;8
8019;1;0;3;2;1;0;1;0;0;2;3;0;13
6325O;3;0;1;0;1;0;0;0;0;2;0;0;7
9091O;1;2;1;2;1;5;0;0;2;1;4;8;27
1212E;7;4;0;2;1;4;0;1;2;3;11;7;42
1208H;8;3;0;2;0;4;0;1;1;2;11;6;38
1249I;7;4;1;1;2;4;0;0;2;1;11;6;39
2444;1;1;0;1;0;2;0;0;2;2;0;1;10
4452;2;3;0;3;1;1;0;0;3;2;0;2;17
B954;1;0;2;1;1;0;1;0;2;2;5;0;15
B893;2;0;2;0;1;0;0;0;4;0;6;1;16
B278;0;0;2;0;1;0;0;1;1;0;5;0;10
B228;3;0;2;0;2;0;0;1;1;1;10;0;20
0200E;1;1;0;3;0;0;0;0;0;3;3;0;11
0076;2;;0;1;0;0;;0;1;2;4;0;
1082;4;3;1;2;1;4;0;1;3;1;12;7;39
2331;1;2;0;2;0;0;0;0;1;3;2;0;11
3469A;2;4;0;3;0;1;0;0;3;3;0;0;16
5973;4;3;0;0;0;1;0;0;0;0;0;3;11
5960;4;1;0;0;0;0;0;0;3;0;1;3;12
5910;4;3;0;0;0;1;0;0;2;0;0;3;13
6001;;4;2;1;0;0;0;0;0;;;2;
1111;7;2;0;2;2;5;3;1;1;3;12;6;44
1109;8;3;1;1;2;3;1;1;3;1;12;6;42
8501;;;;;1;1;0;2;2;0;2;0;
8500A;1;0;2;4;2;2;0;1;1;0;2;0;15
5000C;4;5;2;1;0;0;0;0;0;0;4;1;17
4121;1;0;0;3;0;1;0;1;2;1;0;0;9
5402;3;2;0;1;0;0;0;0;2;1;0;3;12
8096;1;2;0;3;1;1;0;1;2;3;1;1;16
1014;10;4;0;2;3;7;2;1;6;4;12;7;58
1024E;10;4;1;2;2;7;2;2;4;4;9;8;55
0367;1;0;0;2;3;0;0;1;3;1;4;0;15
5530E;1;1;0;1;0;0;0;0;0;0;2;0;5
5514;1;0;0;0;1;0;0;0;0;0;1;1;4
3013;1;1;0;5;0;3;0;1;2;3;1;0;17
4642E;0;2;1;0;0;0;0;0;1;0;1;2;7
9898;1;1;0;0;0;3;1;0;2;2;2;1;13
5270B;2;2;0;1;0;1;0;0;0;0;3;0;9
9170;2;1;0;0;0;2;0;1;1;1;4;1;13
C249I;0;0;0;0;0;0;0;0;0;0;0;0;0
C649I;1;0;0;0;0;0;0;0;0;0;0;0;1
C029O;1;1;0;0;0;0;0;0;0;0;0;0;2
2661;1;3;1;0;0;4;0;0;3;0;0;2;14
1549;2;4;0;0;0;0;0;0;1;2;0;3;12
9771C;1;0;0;1;0;2;0;0;1;1;2;0;8
1505;6;7;0;4;1;4;0;0;1;4;3;;
3191E;1;1;0;1;1;1;0;1;1;1;0;1;9
3129;2;1;0;2;1;1;0;1;2;2;1;0;13
3196;2;1;0;2;0;1;0;1;1;2;0;0;10
3200;1;1;0;1;0;1;0;1;1;2;0;0;8
3195;2;3;0;3;0;1;0;1;3;3;2;1;19
3175;0;0;0;3;1;1;0;1;2;2;1;0;11
2462;6;5;0;6;2;4;0;1;4;3;3;5;39
6155A;5;0;1;3;1;0;0;0;0;0;0;1;11
6000A;2;1;2;2;0;0;0;0;1;0;0;0;8
7178I;2;0;3;3;1;2;0;0;1;0;0;0;12
7228;2;0;3;1;1;1;0;0;1;3;1;0;13
7031;2;0;4;2;1;0;0;0;1;1;2;0;13
9263D;1;4;0;2;1;3;0;0;1;0;4;7;23
9262;2;;0;2;1;4;0;1;0;0;6;8;
1690A;3;8;0;5;0;4;0;2;1;2;0;2;27
1484C;10;9;1;8;7;2;1;3;5;7;1;7;61
1495;10;8;1;6;6;2;0;1;2;6;2;8;52
2867;0;4;0;1;1;1;0;1;3;2;1;0;14
2870;1;2;0;1;0;2;0;0;3;3;1;0;13
C929I;0;0;0;0;0;0;0;0;0;0;0;0;0
C430E;3;2;0;1;0;0;0;0;0;0;1;0;7
C139E;2;0;0;0;0;0;0;0;0;0;2;0;4
C449C;1;2;0;0;0;0;0;0;0;0;1;0;4
C447A;3;5;2;2;0;0;0;0;0;0;1;0;13
C429I;1;0;0;0;0;0;0;0;0;0;0;0;1
2465;2;4;0;4;0;0;0;0;1;2;2;1;16
5796;4;2;0;0;0;1;0;0;1;0;1;3;12
5783;3;2;1;1;0;0;0;0;1;;1;;
2030;4;2;0;1;4;3;0;0;2;2;2;0;20
0016A;1;0;0;1;0;1;1;1;2;1;2;0;10
9981A;1;0;0;1;0;2;0;2;3;1;3;0;13
9381I;1;1;0;3;3;3;0;1;2;2;3;0;19
8368U;1;0;0;1;4;4;1;5;1;1;1;0;19
3260B;;2;0;2;0;0;0;1;3;2;0;;
8416;1;1;2;2;1;0;0;2;1;0;2;0;12
8414A;1;0;2;3;1;0;0;2;2;2;2;0;15
2422;0;2;0;2;0;0;0;0;3;1;3;1;12
2539;0;3;0;2;0;4;0;1;2;0;2;1;15
2614;1;3;0;1;1;3;0;2;3;0;2;2;18
9390;2;1;0;1;3;1;1;1;2;2;4;0;18
9434;1;0;0;0;2;0;0;1;1;0;3;0;8
