Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
5796;10210(13);;;;;10129(05);10087(08);10077(13);10126(29);10126(24);;;
5783;10284(13);10282(23);;10181(12);10206(11);10195(05);;10148(13);;10198(05);10249(30);;
2030;9046(17);9090(23);9055(28);9006(12);9027(25);9020(04);9025(08);9028(13);9049(29);9038(19);9042(19);9056(31);9090(23/feb)
0016A;10190(18);10276(23);;10175(08);10177(25);10146(05);10151(08);10127(13);10172(29);10185(19);10209(19);10221(17);
9981A;10223(18);10308(23);10264(29);10204(08);10204(25);10184(05);10180(08);10160(13);10206(29);10215(19);10244(19);10265(17);10308(23/feb)
9381I;9277(13);9321(23);9276(28);9227(12);9246(25);9231(13);9240(08);9234(13);9269(29);9262(19);9267(19);9278(31);9321(23/feb)
8368U;9256(13);9305(23);9259(28);9208(12);9224(25);9213(13);9221(08);9221(13);9245(29);9247(19);9248(19);9262(31);9305(23/feb)
3260B;;9723(23);9684(03);9644(12);9635(25);9627(05);;9616(13);;;9670(30);;
8414A;10215(18);10294(23);10242(28);10189(07);10182(25);10169(05);10162(08);10149(13);10188(30);10205(19);10222(19);10239(17);10294(23/feb)
2422;9462(13);9462(23);9434(03);9403(12);9411(25);9398(05);9400(08);9397(17);9436(29);9417(06);9439(06);9437(31);9462(13/ene)
2539;9332(17);;;;9287(25);9274(05);;9277(17);9312(29);9292(06);;;
2614;9556(13);9543(23);9530(16);9494(12);9500(25);9484(05);9489(08);9487(17);9515(30);9502(06);9534(06);9526(31);9556(13/ene)
9390;9401(13);9436(23);9396(29);9350(12);9366(25);9351(05);9353(08);9348(13);9382(29);9374(19);9387(19);9394(31);9436(23/feb)
9434;9988(13);10044(24);10006(28);9957(12);9969(25);9950(05);9946(08);9932(13);;9967(19);10003(19);10017(17);
