Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
0367;16.8(09);9.7(06);3.5(05);23.4(11);24.4(11);1.4(07);9.1(31);14.1(04);56.4(03);15.0(03);31.8(23);1.4(02);56.4(03/sep)
5530E;17.2(07);16.3(21);5.8(08);13.6(27);9.1(08);4.9(16);0.0(--);0.1(24);3.9(14);3.2(30);14.5(01);6.7(24);17.2(07/ene)
5514;12.7(07);7.3(21);8.7(08);8.9(15);15.2(27);9.9(16);0.0(--);0.2(24);3.1(14);4.0(30);16.6(01);11.7(24);16.6(01/nov)
3013;17.4(08);16.8(09);2.8(19);16.0(24);7.2(01);20.8(11);8.4(25);10.8(31);32.2(01);16.2(29);26.2(22);5.0(26);32.2(01/sep)
4642E;7.4(08);17.0(05);11.8(04);7.4(26);9.4(09);0.0(--);0.0(--);0.0(--);15.4(14);4.2(29);18.4(20);25.8(24);25.8(24/dic)
9898;38.0(09);11.8(09);0.6(01);7.2(11);7.8(09);17.8(01);10.4(20);5.8(24);17.2(01);26.6(29);41.4(23);14.4(09);41.4(23/nov)
5270B;23.2(07);12.0(09);9.2(07);12.4(27);6.0(08);10.8(05);0.0(--);0.0(--);5.8(13);9.2(03);16.6(01);7.0(23);23.2(07/ene)
9170;13.6(25);14.8(21);4.1(19);6.1(10);9.5(13);42.4(16);3.5(06);14.9(31);10.0(17);11.2(03);23.6(23);11.9(05);42.4(16/jun)
C249I;2.5(07);2.8(04);0.2(29);0.0(--);0.1(09);0.0(--);0.0(--);0.0(--);0.0(--);0.2(25);0.7(27);0.3(08);2.8(04/feb)
C649I;21.4(07);2.5(04);2.9(01);0.7(29);0.0(--);0.0(--);0.1(07);0.1(03);0.3(15);0.4(22);2.6(27);0.9(08);21.4(07/ene)
C029O;33.3(07);13.2(05);1.2(06);0.7(26);0.0(--);0.1(21);0.0(--);0.0(--);0.0(--);0.0(--);5.4(26);0.2(26);33.3(07/ene)
2661;14.7(21);18.9(05);13.3(01);7.8(10);5.0(09);17.4(01);9.7(25);2.7(31);15.4(13);9.7(02);3.7(27);16.9(07);18.9(05/feb)
1549;16.0(21);23.8(09);8.4(01);5.2(21);9.4(13);8.8(13);0.0(--);7.6(31);11.2(13);18.8(02);5.8(27);25.4(07);25.4(07/dic)
9771C;26.1(09);6.8(09);0.9(08);13.6(30);9.4(13);15.0(01);5.8(25);7.0(30);18.2(01);10.6(03);35.4(23);0.7(07);35.4(23/nov)
1505;40.0(21);33.6(20);8.0(11);15.6(01);10.0(10);21.2(18);8.0(24);4.2(01);15.0(15);35.6(02);17.6(22);;
3191E;14.2(08);10.1(09);1.1(08);11.3(25);11.4(09);16.5(17);7.0(25);27.8(31);16.4(15);50.8(29);8.6(22);15.1(26);50.8(29/oct)
3129;21.2(08);13.5(09);3.2(08);16.9(10);15.8(31);14.9(16);3.2(25);19.7(31);24.8(14);48.3(29);11.3(22);8.1(26);48.3(29/oct)
3196;19.1(08);15.9(09);7.2(08);15.3(10);5.7(31);15.7(16);5.0(25);22.2(31);23.2(14);45.4(29);9.4(22);8.2(26);45.4(29/oct)
3200;30.8(08);16.5(09);2.4(08);20.9(10);4.2(09);18.4(16);9.0(25);29.2(31);24.3(14);41.4(31);9.4(02);7.6(26);41.4(31/oct)
3195;32.9(08);18.2(09);3.4(08);29.6(10);6.3(31);40.4(16);6.1(25);32.5(31);38.9(24);67.7(29);13.0(22);11.5(26);67.7(29/oct)
3175;8.7(08);9.4(09);1.7(08);12.9(10);11.1(31);46.9(16);3.3(25);18.7(31);15.9(14);42.9(29);12.0(22);9.5(26);46.9(16/jun)
2462;51.3(25);34.5(21);6.4(19);13.6(21);24.0(31);24.0(16);5.6(25);65.8(31);32.6(24);64.3(29);25.9(22);19.8(26);65.8(31/ago)
6155A;56.4(07);9.1(21);25.8(18);11.7(15);25.3(23);0.9(05);0.0(--);0.0(--);4.8(13);0.7(03);2.2(21);24.1(24);56.4(07/ene)
6000A;16.0(05);14.2(21);20.0(20);21.8(15);7.8(27);2.8(04);0.0(--);0.8(24);32.6(22);0.6(26);7.6(25);2.8(24);32.6(22/sep)
7178I;21.0(08);0.0(--);23.4(07);14.4(20);60.4(23);14.8(16);1.0(26);0.4(29);19.2(20);9.8(03);9.0(18);4.2(01);60.4(23/may)
7228;16.6(08);0.0(--);28.2(08);11.3(15);65.2(23);14.7(16);0.4(26);2.0(29);21.9(20);15.0(22);14.7(20);1.1(01);65.2(23/may)
7031;17.6(08);0.0(--);29.0(08);15.9(09);57.0(23);2.9(05);0.0(--);0.0(--);10.0(20);44.0(22);33.0(05);2.1(18);57.0(23/may)
9263D;15.8(23);21.4(21);3.5(19);14.7(26);19.1(09);34.1(17);5.6(06);4.4(31);14.5(01);7.0(03);50.0(28);45.7(09);50.0(28/nov)
9262;15.8(23);;3.6(18);22.4(10);19.1(09);35.2(03);2.4(06);11.6(31);7.1(01);9.3(29);53.1(28);60.3(09);
1690A;16.0(20);36.2(20);2.4(11);29.4(23);7.4(08);38.8(16);0.4(02);16.6(31);23.4(13);24.0(28);5.4(02);23.6(24);38.8(16/jun)
1484C;38.0(21);40.8(02);10.6(11);30.0(24);32.6(15);15.8(20);11.8(23);16.8(01);28.2(13);39.4(28);17.8(02);53.0(06);53.0(06/dic)
1495;41.6(30);72.9(17);11.6(11);16.1(13);24.6(13);29.6(17);4.4(05);11.8(06);14.4(09);55.9(02);12.3(02);42.6(06);72.9(17/feb)
2867;6.8(20);19.0(09);2.0(07);11.4(27);12.2(09);11.5(15);8.4(05);31.2(25);16.1(13);30.0(31);10.3(22);9.4(26);31.2(25/ago)
2870;13.2(20);22.0(04);4.8(01);10.6(09);6.3(09);12.8(15);6.3(05);5.7(25);34.3(13);33.5(31);12.4(22);9.3(26);34.3(13/sep)
C929I;8.1(07);8.7(04);2.6(28);2.1(29);2.4(09);0.3(21);0.2(23);0.4(06);0.3(15);1.7(24);1.6(26);6.6(14);8.7(04/feb)
C430E;46.0(08);17.0(04);2.2(06);15.6(29);0.0(--);0.8(03);0.0(--);0.0(--);0.4(16);0.3(25);35.6(26);3.0(07);46.0(08/ene)
C139E;18.5(07);5.0(20);2.9(26);2.8(07);0.9(02);2.1(03);0.0(--);0.6(08);4.7(18);5.0(22);52.5(25);6.4(21);52.5(25/nov)
C449C;43.9(08);30.8(05);4.6(08);8.0(29);0.2(02);0.0(--);0.0(--);0.0(--);0.4(16);1.8(22);16.6(26);2.6(01);43.9(08/ene)
C447A;61.9(08);50.6(05);16.2(08);40.5(29);2.7(09);1.5(17);1.6(23);3.4(02);4.8(16);6.5(04);32.0(26);8.3(14);61.9(08/ene)
C429I;18.6(07);6.2(28);0.0(--);0.4(07);1.8(02);0.3(09);0.0(--);0.0(--);0.0(--);0.3(25);8.0(26);3.5(15);18.6(07/ene)
2465;10.8(31);18.8(21);1.0(19);14.0(10);6.0(31);8.6(22);4.6(06);4.6(31);14.6(24);21.3(31);11.6(22);14.4(26);21.3(31/oct)
5796;31.6(08);10.8(07);9.8(05);8.1(24);2.9(27);13.1(18);0.0(--);0.0(--);16.9(14);7.7(30);30.1(01);19.5(23);31.6(08/ene)
5783;48.4(08);15.5(07);14.2(05);13.9(26);6.1(09);2.9(17);0.3(11);0.0(--);23.3(13);;18.6(20);;
2030;15.6(21);17.2(09);9.6(07);10.6(10);21.6(26);25.0(03);3.0(25);9.6(31);35.4(01);16.0(29);23.2(22);9.6(26);35.4(01/sep)
0016A;22.7(09);5.2(22);8.2(08);24.4(30);6.0(13);24.8(29);12.4(31);17.4(30);18.4(22);12.8(29);79.5(23);0.0(--);79.5(23/nov)
9981A;18.6(09);4.0(14);2.8(08);17.2(11);5.2(10);46.4(17);6.0(07);68.2(24);42.8(01);19.8(03);125.0(22);1.0(24);125.0(22/nov)
9381I;20.2(08);12.4(09);5.2(03);17.6(22);14.4(30);22.4(11);8.8(31);28.8(30);33.2(01);11.6(29);24.6(22);5.6(01);33.2(01/sep)
8368U;21.8(08);3.6(09);3.6(07);13.4(21);25.2(26);22.6(05);32.8(25);32.8(18);17.4(01);18.6(31);10.0(22);2.8(26);32.8(25/jul)
3260B;;12.8(07);2.6(08);24.0(27);3.2(03);2.0(17);5.0(25);56.6(31);27.4(01);30.2(29);6.2(22);;
8416;22.0(08);11.3(14);22.4(18);24.8(25);16.0(23);5.0(19);8.6(25);28.2(24);41.4(01);8.4(22);47.9(22);0.5(01);47.9(22/nov)
8414A;17.6(08);7.9(21);23.0(18);23.9(25);14.4(23);6.9(19);2.9(26);21.3(30);72.0(01);11.7(03);22.7(19);0.8(01);72.0(01/sep)
2422;9.0(21);15.4(09);1.0(01);13.0(10);6.8(09);8.6(17);0.0(--);3.0(31);19.2(13);11.6(29);18.8(23);13.8(26);19.2(13/sep)
2539;6.9(21);12.3(09);0.9(07);23.4(02);6.9(31);31.5(16);0.0(--);23.1(31);30.0(13);7.9(29);22.8(23);13.0(26);31.5(16/jun)
2614;12.8(21);23.0(09);2.0(01);10.8(28);10.8(31);25.0(15);3.0(25);11.4(26);39.6(13);9.4(31);13.6(22);12.4(26);39.6(13/sep)
9390;21.0(08);11.8(09);1.6(19);10.4(10);18.2(13);12.2(01);10.2(25);12.2(31);95.2(01);14.0(31);23.6(22);7.0(01);95.2(01/sep)
9434;17.4(09);9.8(21);0.0(--);8.4(11);12.6(13);6.6(17);3.2(06);14.2(11);36.8(01);8.8(03);23.4(23);3.0(05);36.8(01/sep)
