Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;12;;1;1;3;1;;0;0;;;;
1387E;;;1;;4;1;;0;2;7;;9;
1428;;11;;;3;0;;;0;2;;5;
8175;;;0;1;;;;;;2;4;;
8178D;;4;0;;0;0;1;1;1;1;0;;
8025;2;1;1;0;;;0;0;0;;;;
8019;8;5;;1;;;2;0;;1;;11;
6325O;;9;9;10;7;;5;;;5;9;;
9091O;;6;1;0;5;1;0;0;3;2;3;6;
1212E;9;;;;;;1;1;;5;;9;
1249I;5;3;0;0;1;;0;0;0;2;2;5;
2444;7;3;0;1;1;1;0;0;2;0;2;2;19
4452;1;2;2;0;0;0;0;0;0;0;0;0;5
B954;8;6;1;1;1;0;1;;2;;8;8;
B893;13;;;;;1;7;2;;;12;9;
B278;7;;;3;3;;2;;;;;6;
B228;2;2;1;0;0;;1;0;;0;1;2;
0200E;11;4;0;1;0;0;2;0;0;2;5;8;33
1082;;11;5;2;;;0;;;5;3;8;
2331;6;8;4;;7;3;2;0;2;;2;5;
3469A;6;4;0;0;0;1;0;0;0;3;1;0;15
5973;;7;8;;;2;;0;;;2;6;
5960;;;;;;;0;;;2;;;
5910;2;8;6;4;;0;;0;3;3;3;6;
6001;;16;14;9;13;7;13;6;9;;;13;
1111;11;12;3;2;1;2;3;0;0;5;9;;
1109;10;17;2;1;;2;2;0;0;4;5;11;
8500A;3;3;0;0;0;0;1;0;1;0;0;3;11
5000C;7;4;1;;1;1;2;0;0;1;;5;
4121;1;1;0;0;1;;1;;0;0;0;0;
5402;;2;;0;1;0;;1;;;;;
8096;;2;;0;0;0;;0;0;0;;0;
1014;;;;0;2;1;0;0;1;2;2;;
1024E;;;7;8;6;4;2;0;3;9;7;18;
0367;;;;;;;;1;;;2;0;
5530E;;0;1;0;1;2;0;2;3;0;0;1;
5514;3;1;1;0;2;3;0;1;2;;1;0;
3013;2;2;0;0;0;0;0;1;0;0;0;1;6
4642E;1;2;0;0;0;0;0;0;1;1;1;1;7
9898;2;2;0;0;0;;1;0;0;0;1;1;
5270B;10;5;2;1;;1;;1;;;5;4;
9170;;;;1;;;;0;1;;;1;
C249I;3;3;;;;2;6;3;1;;7;;
C649I;;10;;;;;;23;14;;7;5;
C029O;6;;;2;21;;27;;3;2;;;
2661;;4;;0;;4;;2;;2;;7;
1549;1;0;0;0;0;0;0;;0;0;0;0;
9771C;3;2;1;0;2;;2;1;0;0;4;5;
1505;3;4;0;0;1;0;1;0;0;1;0;1;11
3191E;9;4;2;0;2;;2;0;2;1;5;;
3129;7;;1;;;;7;4;1;1;;;
3196;7;2;1;0;2;3;;2;0;2;2;4;
3200;5;5;3;2;2;5;2;3;1;1;4;5;38
3175;;4;4;1;;;9;;3;1;4;5;
2462;12;21;7;4;7;;5;;8;4;10;19;
6155A;5;2;;1;2;;1;;;;;;
7178I;;;0;0;;1;0;0;1;;3;1;
7228;;1;0;;;;1;;0;1;3;;
9263D;4;;3;3;;;;1;;1;;2;
1690A;1;1;0;0;0;3;0;0;0;0;0;0;5
1484C;9;8;0;0;1;;0;;;1;0;2;
1495;10;11;;;0;0;1;0;0;3;;;
2867;9;7;;1;9;6;0;1;;5;;;
2870;5;3;0;0;1;2;0;0;0;2;0;1;14
C929I;7;7;;1;8;;10;9;;3;5;9;
C430E;;;15;17;6;14;6;10;10;7;7;16;
C139E;7;;;2;;;7;0;;0;;6;
C449C;;3;;;2;;;0;;0;0;0;
C447A;;;8;2;14;;9;;2;;2;0;
C429I;;6;9;;;16;;11;11;;8;;
2465;7;7;5;2;3;3;2;0;4;2;2;4;41
5796;1;3;0;0;0;0;0;0;1;1;0;0;6
5783;2;2;;;;;;0;;;;;
2030;5;1;2;0;0;0;0;1;;1;2;4;
0016A;7;;;2;3;0;2;;0;2;;12;
9981A;;8;7;2;;1;3;1;0;0;6;13;
9381I;4;2;0;;1;1;1;2;0;0;2;4;
8368U;1;;0;;0;1;2;;0;0;1;2;
3260B;;;4;0;5;3;2;3;;1;1;;
8414A;7;7;;;4;2;1;2;;1;3;9;
2422;4;;0;;0;;;0;0;0;0;1;
2539;;;;;;;;3;2;;;;
2614;2;1;1;;;;;0;;;0;0;
9390;6;2;0;0;1;1;0;2;0;1;0;2;15
9434;11;3;10;;7;5;8;7;1;3;11;8;
