Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;19;16;4;8;12;8;7;3;10;14;12;16;129
1387E;17;15;5;7;13;8;6;2;11;11;11;14;120
1428;15;20;4;12;13;8;8;3;11;12;9;17;132
8175;7;2;4;11;2;3;0;1;5;4;6;5;50
8178D;6;2;4;12;2;3;0;1;5;4;6;5;50
8025;5;1;4;10;2;2;1;1;4;5;7;0;42
8019;4;1;4;8;2;2;1;0;2;6;6;0;36
6325O;5;1;3;3;4;3;0;0;0;2;1;0;22
9091O;15;10;6;8;9;8;1;4;6;4;13;10;94
1212E;14;15;9;5;13;13;8;3;13;7;15;11;126
1208H;16;15;6;5;13;13;5;7;11;9;13;11;124
1249I;14;13;5;9;15;12;6;2;15;7;14;10;122
2444;7;6;1;15;6;5;2;3;7;6;7;6;71
4452;5;8;2;7;2;4;0;0;6;4;3;8;49
B954;6;1;7;5;3;2;1;0;5;7;16;0;53
B893;11;3;5;3;4;3;1;0;8;6;20;5;69
B278;9;3;4;5;3;2;0;1;4;5;16;3;55
B228;8;2;4;7;4;3;0;1;5;7;15;4;60
0200E;5;4;3;8;3;3;1;2;8;5;7;2;51
0076;5;;2;5;5;1;;2;7;5;8;0;
1082;18;8;5;7;11;10;7;4;12;6;15;13;116
2331;7;11;4;11;10;9;0;2;6;7;9;7;83
3469A;8;10;0;10;2;4;0;1;4;7;0;7;53
5973;9;9;2;2;1;1;0;1;2;3;5;8;43
5960;9;7;3;4;3;3;0;0;4;4;3;7;47
5910;9;9;3;3;2;3;0;0;4;4;3;8;48
6001;;10;4;6;1;1;0;0;2;;;8;
1111;17;8;5;7;12;12;8;6;11;7;15;11;119
1109;18;9;7;6;11;12;9;5;11;7;16;11;122
8501;;;;;3;5;2;7;7;3;2;1;
8500A;4;3;5;11;3;5;3;8;6;3;3;0;54
5000C;14;9;7;6;3;2;0;1;2;2;10;9;65
4121;9;7;2;10;2;3;0;2;6;4;6;7;58
5402;8;6;3;12;3;2;0;0;4;4;4;7;53
8096;11;7;2;13;3;6;1;3;4;4;4;7;65
1014;19;11;10;6;13;11;11;7;14;8;14;12;136
1024E;18;13;9;7;13;9;12;6;15;8;16;12;138
0367;4;7;3;6;7;1;2;3;7;2;9;1;52
5530E;8;6;2;8;4;3;0;0;2;3;4;8;48
5514;11;7;1;8;5;3;0;0;5;3;6;10;59
3013;7;8;1;13;8;7;3;3;3;4;8;4;69
4642E;5;9;3;5;1;0;0;0;2;3;2;7;37
9898;11;6;0;9;3;6;3;4;4;4;3;6;59
5270B;10;7;2;13;4;5;0;0;5;4;6;8;64
9170;9;7;2;6;4;6;1;2;7;5;8;9;66
C249I;5;2;0;0;0;0;0;0;0;0;0;0;7
C649I;5;2;2;0;0;0;0;0;0;0;2;0;11
C029O;6;4;1;0;0;0;0;0;0;0;2;0;13
2661;8;12;1;9;7;10;2;1;8;6;3;8;75
1549;10;16;1;6;8;10;0;4;11;7;2;9;84
9771C;7;5;0;10;2;3;4;2;4;3;3;0;43
1505;12;16;5;9;11;10;3;4;8;12;13;;
3191E;8;8;1;12;5;4;2;3;8;5;3;6;65
3129;8;7;1;14;4;2;1;2;5;5;2;5;56
3196;6;7;1;12;3;2;1;1;5;5;3;6;52
3200;7;6;1;9;3;4;1;1;5;4;2;4;47
3195;8;7;1;13;4;4;2;2;6;5;2;6;60
3175;9;7;1;15;4;3;1;2;5;5;2;5;59
2462;14;11;5;18;11;8;2;2;8;7;14;16;116
6155A;7;3;2;8;4;0;0;0;3;0;2;5;34
6000A;9;2;3;6;1;1;0;0;5;0;8;2;37
7178I;5;0;5;10;3;3;1;0;3;5;6;1;42
7228;4;0;5;7;2;4;0;1;3;4;5;2;37
7031;4;0;5;6;4;2;0;0;3;4;7;1;36
9263D;14;10;4;8;7;10;1;2;8;3;10;10;87
9262;13;;5;8;8;12;3;2;8;4;12;11;
1690A;10;14;1;12;5;8;0;3;13;10;6;11;93
1484C;15;16;6;13;14;6;6;5;9;13;9;16;128
1495;14;16;5;10;12;7;5;4;9;12;7;17;118
2867;8;8;1;13;4;5;3;2;5;6;5;7;67
2870;7;10;1;12;3;4;1;2;4;5;4;3;56
C929I;3;4;2;1;1;0;0;0;0;1;2;2;16
C430E;6;4;1;1;0;0;0;0;0;0;3;2;17
C139E;8;4;2;2;0;1;0;0;3;2;12;4;38
C449C;6;6;4;3;0;0;0;0;0;1;4;5;29
C447A;6;7;8;7;3;1;3;3;1;2;7;9;57
C429I;2;1;0;0;1;0;0;0;0;0;2;2;8
2465;7;8;1;16;6;6;2;1;7;5;8;8;75
5796;11;4;3;8;3;3;0;0;4;4;4;9;53
5783;6;4;3;6;3;3;0;0;3;;3;;
2030;12;9;3;14;11;11;2;3;5;5;7;5;87
0016A;4;3;1;7;2;7;1;2;4;3;5;0;39
9981A;4;5;2;9;7;6;5;7;7;3;4;1;60
9381I;6;4;2;12;7;9;3;6;4;3;9;5;70
8368U;6;4;2;11;8;9;4;8;4;3;6;2;67
3260B;;6;1;11;3;3;1;2;6;4;3;;
8416;5;2;3;9;2;7;3;3;6;6;7;0;53
8414A;4;3;5;12;2;6;3;3;5;5;7;0;55
2422;7;10;1;11;6;8;0;1;8;5;4;5;66
2539;6;11;0;12;4;6;0;1;7;5;4;4;60
2614;5;11;2;12;3;8;1;2;5;5;4;6;64
9390;7;5;1;13;9;9;4;3;5;3;9;4;72
9434;7;5;0;10;4;7;1;2;5;4;6;4;55
