Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
5530E;-6.3(04);-1.2(23);-2.8(21);2.1(18);2.6(02);8.9(02);11.2(08);12.8(02);9.3(28);4.9(27);-2.7(08);-2.6(03);-6.3(04/ene)
5514;-6.2(04);-1.3(23);-2.5(21);2.5(18);3.0(02);9.0(02);13.1(08);13.5(01);9.6(26);6.0(25);-2.2(28);-2.0(03);-6.2(04/ene)
3013;-25.2(12);-3.5(19);-8.1(10);-4.9(17);1.9(20);5.3(02);4.9(14);6.4(01);3.4(21);-4.2(24);-6.2(18);-7.0(17);-25.2(12/ene)
4642E;-0.7(03);4.3(22);4.3(21);9.8(18);7.9(01);13.0(04);14.8(01);15.7(01);13.7(29);11.5(26);3.2(24);3.5(01);-0.7(03/ene)
9898;-7.4(12);1.4(07);-1.0(21);-0.1(07);2.4(02);9.5(24);10.8(08);11.0(18);7.8(21);4.7(23);-0.2(28);-2.4(16);-7.4(12/ene)
5270B;-2.0(12);4.6(23);1.6(21);8.1(18);;13.0(02);17.6(08);16.5(01);14.5(26);10.1(04);0.4(28);2.4(03);
9170;-3.4(07);0.6(14);-0.8(10);0.6(13);2.5(02);9.8(28);10.5(09);10.7(02);9.3(19);0.3(24);-2.5(19);0.8(20);-3.4(07/ene)
C249I;10.9(20);11.4(06);;;16.5(01);17.6(02);18.6(02);20.3(11);20.6(25);;14.3(20);;
C649I;;11.6(06);;;;18.0(05);19.0(02);20.2(03);20.3(05);;14.6(26);12.8(17);
C029O;10.4(20);10.5(06);;13.8(08);14.7(01);15.9(25);18.2(02);18.2(11);18.3(24);15.5(30);;11.9(19);
2661;-8.1(08);-2.8(07);-4.2(21);-2.5(17);1.4(23);5.5(24);6.9(08);6.8(08);5.6(21);2.5(24);-2.4(18);-2.0(14);-8.1(08/ene)
1549;-8.4(09);-1.0(07);-2.0(21);1.7(04);3.2(03);6.0(04);11.0(14);9.7(08);6.6(21);2.8(28);-1.2(18);-2.9(18);-8.4(09/ene)
9771C;-5.9(12);1.3(11);-0.7(21);0.7(18);7.3(02);11.8(24);13.4(14);13.3(01);11.3(30);3.6(25);-1.4(07);-1.5(01);-5.9(12/ene)
1505;-4.9(07);-1.2(07);-2.6(21);-1.6(17);-0.7(02);2.6(04);6.8(08);7.6(08);6.4(19);2.3(27);-1.7(19);-3.2(18);-4.9(07/ene)
3191E;-5.4(11);2.2(07);-0.9(21);-0.4(18);4.4(11);8.9(21);10.7(07);9.9(01);7.6(21);6.6(23);0.0(24);0.5(01);-5.4(11/ene)
3129;-13.4(12);0.2(23);-2.6(21);1.3(17);4.8(01);11.7(02);10.4(07);12.5(01);9.7(19);1.9(24);-2.7(28);-3.0(17);-13.4(12/ene)
3196;-13.0(12);3.0(23);-0.2(21);3.8(17);5.3(11);10.4(02);12.7(07);13.5(01);11.4(21);6.1(24);1.5(24);-0.5(01);-13.0(12/ene)
3200;-12.0(12);3.0(23);-1.2(21);3.0(17);6.6(01);11.0(02);12.2(07);14.4(01);11.4(21);5.4(24);1.4(07);0.2(17);-12.0(12/ene)
3195;-7.4(12);4.7(23);0.6(21);3.5(17);;12.4(21);13.2(07);13.5(01);10.8(21);7.5(24);1.1(28);0.9(01);
3175;-13.7(12);-0.5(28);;0.0(17);3.5(01);9.7(02);8.1(07);;8.4(21);;-0.7(16);-3.2(17);
2462;-11.2(11);-4.4(07);-8.1(20);-4.2(17);-2.9(11);3.0(28);2.7(13);4.5(01);1.6(21);0.5(04);-7.2(28);-4.9(03);-11.2(11/ene)
6155A;1.6(13);5.9(18);4.3(21);10.4(06);10.8(02);16.1(03);19.1(02);18.9(02);16.2(28);13.2(25);5.4(27);5.1(01);1.6(13/ene)
6000A;6.2(13);8.5(17);8.1(22);11.5(06);13.4(12);16.6(06);20.3(27);18.9(02);17.9(29);;9.0(08);8.4(04);
7178I;-1.1(04);5.7(17);2.8(21);7.3(17);11.2(02);15.4(06);19.0(10);20.5(03);16.0(28);11.8(05);3.4(27);3.6(31);-1.1(04/ene)
7228;-3.0(04);3.4(17);1.2(21);6.0(17);9.4(02);13.8(06);17.6(10);19.3(03);14.7(28);10.2(25);3.2(27);2.9(01);-3.0(04/ene)
7031;-2.0(04);5.0(18);5.5(23);6.5(17);10.4(12);14.5(26);19.5(02);19.0(04);14.3(28);11.0(05);4.8(16);4.5(01);-2.0(04/ene)
9263D;-6.6(08);-0.7(14);-3.3(10);-1.8(08);1.2(02);5.8(28);;8.4(02);7.9(22);0.6(24);;-1.5(17);
9262;-5.2(08);;-0.7(10);0.7(13);3.7(02);8.7(28);10.7(09);10.3(02);9.7(22);2.9(24);0.0(10);-0.6(16);
1690A;-5.6(09);-0.3(07);-1.2(21);1.6(12);1.9(02);5.9(04);10.0(08);9.8(08);8.3(19);5.2(14);0.5(18);-1.1(19);-5.6(09/ene)
1484C;-1.2(08);2.0(07);2.5(21);4.8(17);3.8(02);7.3(04);10.5(08);11.6(08);11.0(28);8.2(23);2.1(28);5.2(02);-1.2(08/ene)
1495;-3.1(05);1.9(07);;4.8(30);4.7(02);7.3(04);10.7(08);11.2(18);10.8(19);7.8(23);;3.8(19);
2867;-11.9(12);-2.8(23);-5.0(21);-1.8(17);2.1(04);5.6(28);6.8(13);6.8(09);3.7(29);-0.8(24);-5.8(18);-4.7(19);-11.9(12/ene)
2870;-8.0(12);-0.3(23);-1.5(21);0.4(17);4.1(02);9.5(24);10.8(13);11.0(18);8.0(21);2.8(24);-1.0(30);-1.3(16);-8.0(12/ene)
C929I;14.5(19);12.5(05);15.4(02);16.6(06);18.3(10);18.8(01);20.2(01);21.1(04);21.8(05);20.2(30);17.5(20);15.3(18);12.5(05/feb)
C430E;-6.2(13);-4.4(05);-4.3(01);-1.8(25);-1.2(01);2.4(04);9.0(09);8.7(31);5.1(16);2.3(26);-2.1(26);-1.5(01);-6.2(13/ene)
C139E;12.4(09);11.0(05);14.8(19);15.8(01);;17.6(01);19.6(01);19.6(10);20.3(25);18.3(30);15.7(27);14.4(18);
C449C;13.2(09);11.8(05);14.2(23);16.0(06);16.8(06);17.6(01);19.4(02);20.6(22);20.2(25);17.7(31);16.6(26);13.9(18);11.8(05/feb)
C447A;5.2(20);4.6(05);8.0(23);8.7(02);10.6(02);12.2(01);14.4(02);15.8(02);13.7(25);10.5(31);10.4(20);7.1(17);4.6(05/feb)
C429I;11.6(09);11.4(06);13.0(01);15.1(20);;16.7(06);17.3(02);19.3(10);19.4(25);16.9(31);13.8(27);10.8(18);
2465;-8.0(11);0.2(21);-2.8(21);-2.8(17);3.5(11);7.4(28);7.9(13);8.4(01);4.0(21);3.5(23);-2.1(28);-1.6(03);-8.0(11/ene)
5796;-1.8(03);3.0(22);1.0(21);8.5(09);6.6(02);12.4(02);15.8(08);15.2(01);14.6(19);10.6(04);0.8(28);1.7(04);-1.8(03/ene)
5783;-1.5(03);4.5(22);;9.9(03);7.6(02);12.9(02);;16.6(08);;;2.7(24);;
2030;-11.1(08);-2.0(07);-4.5(10);-2.1(07);0.4(04);5.8(24);7.8(13);6.4(02);6.2(19);-1.8(24);-2.8(19);-3.8(20);-11.1(08/ene)
0016A;-5.1(06);3.9(19);;2.2(18);6.2(03);14.2(02);16.4(13);14.2(01);13.2(30);7.5(25);2.0(30);0.4(20);
9981A;0.6(09);5.3(27);4.2(11);5.0(19);9.7(04);13.8(07);17.3(16);16.5(02);14.3(22);8.1(24);4.3(19);2.2(17);0.6(09/ene)
9381I;-21.3(12);-0.8(14);-6.0(10);-2.2(17);3.0(13);6.1(24);6.7(14);8.6(01);5.6(22);-2.2(24);-4.6(18);-5.4(17);-21.3(12/ene)
8368U;-21.0(12);-2.1(19);-3.7(10);-1.6(07);3.7(13);8.1(22);8.4(14);9.4(01);6.2(20);-0.5(24);-3.4(18);-5.4(17);-21.0(12/ene)
3260B;-13.4(12);1.4(23);-0.5(21);2.5(17);6.6(11);10.9(23);12.2(07);14.1(01);;4.9(24);0.5(28);;
8416;0.8(12);8.2(14);5.4(20);7.4(18);13.0(04);17.2(06);19.4(27);19.8(25);16.0(21);13.0(25);6.2(28);6.4(20);0.8(12/ene)
8414A;-2.3(06);4.5(14);3.8(21);5.7(19);10.7(05);16.0(07);16.9(14);18.5(30);15.1(21);10.6(25);4.1(28);4.4(14);-2.3(06/ene)
2422;-6.7(12);-0.6(23);-1.9(10);-0.6(17);4.0(02);8.4(24);9.8(13);10.4(08);8.4(21);1.7(24);-1.3(14);-1.8(18);-6.7(12/ene)
2539;-9.0(12);-1.6(23);-3.4(23);-2.7(17);1.7(23);5.9(28);6.3(13);6.7(08);6.2(19);-0.5(14);-3.6(28);-4.0(15);-9.0(12/ene)
2614;-6.8(12);-0.5(23);-1.5(22);-1.0(17);3.8(02);9.2(05);10.1(08);10.4(18);7.0(21);2.3(24);-1.1(07);-2.7(16);-6.8(12/ene)
9390;-18.5(12);-1.3(14);-5.4(10);-1.7(16);4.2(13);6.9(24);8.3(13);8.4(01);5.7(21);-1.2(24);-3.9(18);-4.8(18);-18.5(12/ene)
9434;-3.1(07);3.3(11);1.5(10);4.4(13);7.2(02);13.3(02);15.4(13);15.0(01);12.2(22);4.4(24);1.0(19);1.5(17);-3.1(07/ene)
