Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;0;0;0;0;0;1;0;1;0;0;0;2
1387E;0;0;0;0;0;1;2;0;2;0;0;0;5
1428;0;0;0;0;0;1;2;1;0;0;0;0;4
8175;0;0;0;0;2;15;30;30;9;0;0;0;86
8178D;0;0;0;0;2;16;29;29;9;0;0;0;85
8025;0;0;0;0;1;5;20;22;13;3;0;0;64
8019;0;0;0;0;;6;17;23;;1;;0;
6325O;0;0;0;0;3;10;14;24;13;0;0;0;64
9091O;0;0;0;0;0;1;7;8;4;0;0;0;20
1212E;0;0;;;0;0;0;0;1;0;;0;
1208H;0;0;0;0;0;0;0;0;0;0;0;0;0
1249I;0;0;0;0;0;0;0;0;2;0;0;0;2
2444;0;0;0;0;0;2;17;14;0;0;0;0;33
4452;0;0;1;0;8;17;27;31;14;3;0;0;101
B954;0;0;0;0;0;1;10;17;7;0;0;0;35
B893;0;0;0;0;0;8;13;9;3;0;0;0;33
B278;0;0;0;0;0;6;21;24;12;0;0;0;63
B228;0;0;0;0;0;4;17;17;11;0;0;0;49
0200E;0;0;0;0;0;7;15;10;8;0;0;0;40
0076;0;0;;0;0;5;;;0;;0;0;
1082;0;0;0;0;2;1;1;0;6;0;0;0;10
2331;0;0;0;0;0;2;12;12;3;0;0;0;29
3469A;0;0;0;0;5;16;27;28;6;0;0;0;82
5973;0;0;0;0;0;2;6;4;3;0;0;0;15
5960;0;0;0;0;;16;29;29;21;10;;0;
5910;0;0;0;0;2;6;15;15;7;3;0;0;48
6001;;0;0;0;1;0;0;0;0;0;;0;
1111;0;0;0;0;0;0;0;0;1;0;0;0;1
1109;0;0;1;0;0;0;0;0;2;0;0;0;3
8500A;0;0;0;0;1;7;14;18;5;1;0;0;46
5000C;0;0;0;0;2;1;11;8;5;0;0;0;27
4121;0;0;0;0;5;21;26;30;8;0;0;0;90
5402;0;0;1;0;17;23;;31;24;12;0;0;
8096;0;0;0;0;0;12;24;27;3;0;0;0;66
1014;0;0;0;0;1;1;0;0;3;0;0;0;5
1024E;0;0;0;0;1;1;0;0;1;0;0;0;3
0367;0;;0;0;1;16;23;22;6;0;0;0;
5530E;0;0;0;0;15;22;30;31;20;3;0;0;121
5514;0;0;0;0;11;22;31;31;15;0;0;0;110
3013;0;0;0;0;0;1;15;17;2;0;0;0;35
4642E;0;0;0;0;10;10;28;24;16;7;0;0;95
9898;0;0;0;0;1;11;21;18;4;0;0;0;55
5270B;0;0;0;0;;17;30;30;11;0;0;0;
9170;0;0;0;0;5;10;17;17;5;0;0;0;54
C249I;0;0;;;0;1;4;2;1;;0;;
C649I;;0;;;;2;4;5;0;;0;0;
C029O;0;0;;0;2;3;5;17;13;2;;0;
2661;0;0;0;0;0;2;9;12;1;0;0;0;24
1549;0;0;0;0;2;10;14;22;4;0;0;0;52
9771C;0;0;0;0;5;16;27;27;12;0;0;0;87
1505;0;0;0;0;1;1;3;3;3;0;0;0;11
3191E;0;0;0;0;0;6;18;21;0;0;0;0;45
3129;0;0;0;0;4;16;25;30;5;0;0;0;80
3196;0;0;0;0;3;16;24;29;5;0;0;0;77
3200;0;0;0;0;4;16;25;30;5;0;0;0;80
3195;0;0;0;0;;13;23;27;3;0;0;0;
3175;0;0;;0;2;13;23;;5;;0;0;
2462;0;0;0;0;0;0;0;3;0;0;0;0;3
6155A;0;0;0;0;5;8;16;26;7;0;0;0;62
6000A;0;0;0;0;2;1;13;9;3;;0;0;
7178I;0;0;0;0;4;20;31;31;25;5;0;0;116
7228;0;0;0;0;9;21;31;31;25;4;0;0;121
7031;0;0;0;0;2;0;10;12;4;0;0;0;28
9263D;0;0;0;0;2;7;;13;6;0;;0;
9262;0;;0;0;2;7;10;11;6;0;0;0;
1690A;0;0;0;0;4;12;14;18;4;1;0;0;53
1484C;0;0;0;0;0;3;3;2;0;0;0;0;8
1495;0;0;;0;0;4;3;3;0;0;;0;
2867;0;0;0;0;1;12;18;20;4;0;0;0;55
2870;0;0;0;0;2;12;19;21;4;0;0;0;58
C929I;0;0;0;0;0;0;0;0;0;2;0;0;2
C430E;0;0;0;0;0;0;0;0;0;0;0;0;0
C139E;0;0;0;0;;0;0;4;0;0;0;0;
C449C;0;0;0;0;2;1;8;11;3;0;0;0;25
C447A;0;0;0;0;0;2;6;6;2;3;0;0;19
C429I;0;0;0;0;;2;6;8;6;5;0;0;
2465;0;0;0;0;0;5;16;19;2;0;0;0;42
5796;0;0;1;0;17;21;31;30;25;16;0;0;141
5783;0;0;;0;16;22;;31;;;0;;
2030;0;0;0;0;0;0;16;18;2;0;0;0;36
0016A;0;0;;0;1;9;17;18;9;0;0;0;
9981A;0;0;0;0;5;17;27;23;18;0;0;0;90
9381I;0;0;0;0;0;6;22;16;1;0;0;0;45
8368U;0;0;0;0;0;7;25;23;3;0;0;0;58
3260B;0;0;0;0;7;20;26;30;;0;0;;
8416;0;0;0;0;2;5;8;14;8;1;0;0;38
8414A;0;0;0;0;2;7;18;20;12;1;0;0;60
2422;0;0;0;0;3;12;17;23;5;0;0;0;60
2539;0;0;0;0;1;8;16;17;2;0;0;0;44
2614;0;0;0;0;3;12;18;25;4;0;0;0;62
9390;0;0;0;0;0;7;21;17;2;0;0;0;47
9434;0;0;0;0;4;14;22;24;6;0;0;0;70
