Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
5514;22.0(28);22.8(17);27.5(31);25.0(01);32.1(19);35.2(09);41.6(11);43.8(13);39.1(07);29.6(07);21.5(01);23.4(30);43.8(13/ago)
3013;17.0(28);18.3(20);23.4(31);22.8(01);27.6(30);30.8(14);34.9(11);36.8(14);30.4(07);24.0(07);16.3(01);18.6(31);36.8(14/ago)
4642E;21.8(27);21.9(14);28.4(31);26.6(06);34.2(19);36.2(08);38.8(10);41.4(16);35.0(05);31.8(06);25.9(14);23.3(12);41.4(16/ago)
9898;18.3(29);18.0(18);22.7(31);23.6(03);31.3(29);35.3(14);37.0(22);40.7(14);32.5(06);25.8(02);18.4(08);16.5(29);40.7(14/ago)
5270B;20.3(28);22.7(20);27.8(31);25.8(07);;36.0(10);40.7(11);44.2(14);37.1(06);28.7(08);19.8(13);21.5(30);
9170;19.2(27);20.2(19);23.3(31);24.6(02);31.9(08);35.2(14);39.3(22);40.8(14);31.6(06);25.5(01);17.3(01);18.2(28);40.8(14/ago)
C249I;25.4(05);24.6(20);;;27.7(18);34.4(10);32.6(19);30.8(16);31.4(06);;25.0(03);;
C649I;;25.6(20);;;;32.2(09);31.4(12);35.5(18);29.7(15);;25.5(04);28.0(30);
C029O;25.9(28);25.9(01);;29.3(13);30.7(21);36.0(09);38.7(12);42.4(17);33.1(08);34.3(01);;26.4(30);
2661;16.7(27);16.2(27);22.1(31);21.3(05);29.2(31);31.0(15);33.1(20);35.5(14);31.0(06);24.5(09);18.2(08);17.9(15);35.5(14/ago)
1549;18.0(27);20.3(27);25.3(31);25.9(04);31.6(31);33.9(11);35.8(17);37.6(13);33.2(05);27.4(19);18.3(08);18.5(29);37.6(13/ago)
9771C;20.6(28);21.2(20);24.9(30);25.8(01);33.2(29);38.3(14);39.2(22);41.1(14);33.9(06);29.0(02);21.6(08);20.3(29);41.1(14/ago)
1505;16.1(28);20.8(15);27.8(31);22.7(24);30.1(31);30.9(13);32.4(18);31.6(26);33.7(05);26.8(19);18.5(08);20.9(31);33.7(05/sep)
3191E;17.1(27);17.0(27);20.5(31);20.7(06);28.2(31);31.8(09);36.4(11);39.0(14);29.4(05);24.2(07);17.3(08);17.3(15);39.0(14/ago)
3129;18.6(27);19.6(27);24.1(31);23.5(06);32.8(30);35.3(09);40.5(11);42.7(14);33.4(06);26.9(08);19.1(12);18.3(11);42.7(14/ago)
3196;19.8(27);20.2(27);24.4(31);24.0(06);32.1(30);35.0(09);39.6(11);42.2(14);33.0(05);26.5(07);19.5(12);18.4(15);42.2(14/ago)
3200;19.6(27);20.0(27);24.2(31);24.2(06);32.6(30);35.0(09);39.8(11);42.6(14);33.4(07);27.0(07);20.0(08);19.0(11);42.6(14/ago)
3195;17.8(27);18.2(27);23.4(31);23.0(06);;33.1(09);38.0(11);40.7(14);31.4(07);25.1(02);17.7(08);16.3(11);
3175;18.6(27);18.6(27);;23.6(06);31.4(30);34.1(09);39.3(11);;33.3(06);;20.4(12);18.9(15);
2462;12.0(28);11.4(27);13.8(31);14.4(01);20.3(31);24.3(15);28.7(11);31.5(14);22.9(05);18.2(20);11.1(12);16.3(30);31.5(14/ago)
6155A;26.0(29);22.6(02);24.5(24);27.1(20);35.6(16);36.2(28);42.6(24);38.6(07);36.2(10);29.7(03);29.6(01);23.2(11);42.6(24/jul)
6000A;22.0(29);22.1(11);22.3(12);25.5(27);31.9(16);30.2(29);36.5(05);39.7(16);31.7(11);;25.3(02);22.0(25);
7178I;28.7(29);25.4(01);26.1(25);28.8(06);36.1(16);36.1(28);44.2(12);46.2(15);35.8(10);31.3(21);27.6(01);26.0(27);46.2(15/ago)
7228;28.2(29);25.2(01);26.5(25);29.1(06);36.7(16);36.1(28);45.0(12);47.0(15);35.7(10);31.0(21);27.7(01);25.9(27);47.0(15/ago)
7031;25.5(27);25.8(01);21.8(14);26.0(06);32.0(16);29.5(22);37.0(12);36.8(15);34.0(09);29.0(31);27.0(01);24.2(27);37.0(12/jul)
9263D;17.9(29);20.8(20);24.9(31);24.1(02);31.0(31);33.6(13);;41.6(14);35.6(06);26.4(19);;17.2(29);
9262;18.3(29);;24.4(31);23.2(01);31.3(31);33.4(13);38.0(22);40.0(14);34.5(06);25.9(19);16.4(02);17.0(29);
1690A;19.2(27);21.6(14);29.1(31);27.1(05);32.9(31);34.8(15);38.4(17);37.5(13);36.5(05);30.4(19);21.1(08);21.3(31);38.4(17/jul)
1484C;14.7(17);21.2(15);28.6(31);24.6(01);26.1(30);32.3(15);35.0(16);34.0(23);29.6(05);28.1(11);20.4(19);21.5(31);35.0(16/jul)
1495;15.2(18);20.4(15);;23.7(01);26.2(30);33.6(15);35.7(16);34.1(23);29.9(05);27.0(11);;20.7(31);
2867;19.6(28);19.1(15);26.9(31);22.2(01);31.1(31);33.2(10);36.5(11);40.2(13);33.8(05);27.3(19);16.3(20);20.2(31);40.2(13/ago)
2870;19.6(28);20.0(15);27.2(31);22.9(24);30.8(30);32.9(08);36.3(11);39.2(14);33.9(05);26.6(19);16.6(09);20.5(31);39.2(14/ago)
C929I;26.3(07);26.0(15);25.5(25);28.4(13);26.5(09);26.7(09);25.9(23);28.8(16);29.8(12);31.5(17);25.0(02);27.4(31);31.5(17/oct)
C430E;16.0(27);15.6(02);15.5(14);17.2(01);22.5(22);25.5(26);28.4(24);27.4(15);26.6(08);22.5(01);17.5(01);15.0(29);28.4(24/jul)
C139E;24.3(06);26.0(15);24.1(25);24.6(14);;29.2(09);29.0(12);35.8(17);29.4(12);29.2(20);25.3(21);28.8(31);
C449C;25.6(31);24.2(15);29.6(25);26.5(21);30.9(20);30.7(10);32.3(18);36.2(16);30.6(10);29.7(01);27.0(04);27.0(30);36.2(16/ago)
C447A;25.9(29);22.2(15);24.5(25);25.1(12);25.2(18);34.1(10);36.1(17);40.0(15);34.9(11);35.0(01);23.0(01);22.7(30);40.0(15/ago)
C429I;27.5(29);27.4(15);29.1(25);27.1(24);;31.3(09);41.8(18);44.3(16);33.3(12);33.1(18);26.6(04);27.8(30);
2465;17.6(28);17.0(15);21.4(31);21.1(01);28.2(31);31.3(10);37.6(11);38.7(13);31.0(06);24.9(19);13.7(10);22.6(30);38.7(13/ago)
5796;22.4(28);23.6(14);30.3(31);28.8(06);35.0(29);38.8(08);43.2(10);45.5(14);39.2(05);33.1(06);24.3(14);24.8(12);45.5(14/ago)
5783;22.6(28);24.1(17);;27.2(06);35.1(29);38.7(08);;44.9(14);;;24.6(01);;
