Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
3196;23/85(22);21/69(09);22/56(26);21/52(29);23/65(09);09/69(13);;14/58(11);21/54(14);21/58(31);30/56(27);27/63(09);
3200;29/98(22);26/61(09);08/65(20);28/58(10);29/59(10);25/74(16);35/56(25);21/74(11);33/56(14);28/61(30);34/67(27);30/67(09);29/98(22/ene)
3175;;22/85(09);35/65(19);35/61(17);;;34/69(31);;05/63(20);22/56(31);34/61(05);35/63(02);
2462;27/118(22);14/100(21);14/87(29);17/71(25);19/81(08);;24/62(06);;16/95(14);25/93(30);99/89(29);32/93(10);
6155A;08/87(08);29/58(02);;35/65(27);29/55(10);;30/55(12);;;;;;
7178I;;;06/46(01);12/53(11);;20/77(17);07/52(26);06/51(16);03/62(21);;33/61(03);28/55(08);
7228;;34/63(01);02/48(19);;;;08/67(26);;11/48(07);01/69(03);02/72(27);;
9263D;21/87(22);;35/63(17);36/58(03);;;;35/55(17);;18/65(03);;30/68(08);
1690A;21/66(21);14/59(20);06/39(19);19/37(23);22/48(09);20/62(16);24/35(05);06/48(31);14/39(06);26/43(20);28/35(02);15/46(21);21/66(21/ene)
1484C;24/72(22);14/78(20);03/49(19);21/42(01);22/57(12);;18/48(05);;;22/60(02);36/53(27);22/65(07);
1495;21/91(21);19/85(20);;;18/52(09);05/52(22);21/55(05);01/46(16);04/48(20);23/63(02);;;
2867;99/109(22);26/76(09);;26/63(10);19/82(31);22/80(26);28/54(12);35/76(25);;20/84(29);;;
2870;21/90(22);15/66(21);06/50(20);21/47(10);23/55(12);14/71(15);25/44(31);24/44(14);29/54(08);23/66(31);22/39(02);21/62(07);21/90(22/ene)
C929I;27/80(07);34/84(05);;32/55(25);04/72(23);;99/65(22);02/76(18);;04/61(23);04/61(29);04/65(10);
C430E;;;34/109(06);32/80(25);35/77(14);21/105(09);32/87(26);32/84(30);24/94(05);31/100(08);32/93(27);12/91(04);
C139E;25/108(06);;;02/74(30);;;03/76(22);03/54(06);;03/48(04);;27/72(20);
C449C;;32/87(20);;;28/61(15);;;26/50(05);;08/46(03);33/44(27);01/41(09);
C447A;;;29/72(05);31/71(30);28/71(14);;30/76(09);;17/58(12);;33/63(28);32/50(03);
C429I;;99/80(20);25/74(26);;;04/76(09);;05/91(17);08/80(29);;07/72(07);;
2465;25/103(22);18/80(20);13/75(31);11/59(01);22/70(31);18/70(13);22/59(23);24/51(13);03/59(20);19/71(29);12/59(19);26/65(08);25/103(22/ene)
5796;20/56(20);22/60(08);08/51(17);22/48(26);22/53(09);21/39(05);26/49(25);24/41(10);18/60(21);24/58(30);14/52(19);22/54(25);22/60(08/feb)
5783;18/58(20);20/74(08);;;;;;24/45(07);;;;;
2030;28/69(30);27/69(01);04/62(20);01/45(17);27/52(12);22/46(11);18/53(23);28/86(11);;25/55(31);03/60(07);25/59(07);
0016A;28/109(22);;;99/55(06);27/68(11);08/52(17);30/68(13);;04/52(02);28/63(04);;27/113(10);
9981A;;28/102(01);30/68(17);32/66(06);;30/55(22);30/87(13);30/62(17);33/48(19);33/51(04);30/91(28);29/99(10);
9381I;30/95(22);27/65(09);16/44(29);;22/56(09);26/58(17);21/55(11);30/75(14);29/51(01);27/47(31);28/65(29);30/71(10);
8368U;27/73(22);;33/43(19);;24/46(12);19/56(01);22/62(11);;11/38(01);26/41(31);33/55(27);30/62(08);
3260B;;;14/61(31);10/51(01);25/65(31);13/67(13);25/62(11);20/64(11);;99/58(31);01/75(27);;
8414A;99/93(22);30/80(10);;;27/63(12);10/55(01);25/61(12);35/85(30);;25/59(31);30/78(27);26/72(07);
2422;28/82(22);;02/50(19);;24/53(12);;;08/54(31);36/46(20);25/47(31);35/49(27);26/60(07);
2539;;;;;;;;16/93(31);04/71(20);;;;
2614;24/69(22);22/55(03);08/55(20);;;;;25/45(05);;;36/51(27);25/53(07);
9390;24/72(22);26/78(09);03/44(18);24/45(29);24/82(09);24/58(20);24/48(23);25/68(15);28/48(01);25/56(31);27/52(28);26/63(05);24/82(09/may)
9434;29/109(22);27/63(08);29/81(16);;32/67(21);22/64(17);31/66(14);27/73(14);31/61(20);30/58(04);31/75(14);27/75(10);
