Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;10.1;12.3;12.7;15.3;16.8;19.4;21.5;22.8;21.3;17.7;13.3;12.4;16.3
1428;;;;;;;;;18.5;14.5;9.0;8.5;
8178D;;;;;;;31.6;;;;;;
9091O;5.5;;;;;;21.4;;;;;;
4452;8.1;12.4;14.6;18.9;22.2;26.0;28.1;29.7;25.0;20.4;11.8;10.8;19.0
0200E;5.5;8.9;10.2;12.7;17.8;;26.7;;21.7;16.4;10.2;7.7;
2331;2.8;7.1;8.6;12.1;16.7;22.2;27.2;27.8;21.5;14.9;7.6;5.7;14.5
3469A;8.2;11.6;13.9;17.4;21.2;26.7;30.4;30.9;25.7;20.7;12.9;11.0;19.2
1024E;;10.2;;;15.4;19.5;20.7;;19.5;14.5;10.0;8.9;
4642E;11.7;14.7;16.4;20.9;;29.2;;;;;18.5;15.2;
1549;5.5;;11.5;16.0;18.7;22.9;26.7;27.4;21.7;;9.9;8.6;
9771C;;;11.7;;;;;;;;;;
1505;6.7;9.2;9.7;12.9;15.1;18.7;20.4;21.4;19.4;15.7;10.6;8.8;14.1
2462;;1.7;;7.0;9.7;14.4;18.6;19.8;13.9;;4.2;2.4;
7178I;10.1;15.1;15.7;;24.4;;33.1;33.2;29.3;22.8;15.3;;
1690A;8.2;11.2;11.7;14.6;15.9;20.1;21.1;22.3;20.4;16.8;12.1;11.1;15.5
1484C;8.7;11.5;12.7;15.3;15.8;19.1;20.3;20.8;20.4;17.8;13.1;11.9;15.6
2867;4.9;9.5;11.6;15.8;19.0;24.5;27.5;28.7;22.6;17.3;10.0;8.1;16.6
2422;2.6;8.1;10.8;14.5;19.4;25.5;30.1;30.7;23.7;16.4;7.7;5.9;16.3
2539;2.9;7.6;9.4;12.2;16.4;21.3;25.9;26.0;18.9;13.6;6.7;;
