Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1495;7.1;10.4;;14.4;12.3;15.8;18.4;19.2;19.0;13.9;;9.8;
2867;-1.5;7.5;9.3;12.0;13.0;20.7;21.5;25.1;18.5;16.2;3.7;3.5;-1.5
2870;-0.3;7.4;10.5;13.4;14.1;20.1;21.4;25.5;18.5;16.9;4.8;4.4;-0.3
C929I;18.3;17.3;19.4;20.5;21.1;21.8;23.1;24.1;24.8;23.7;21.0;20.8;17.3
C430E;-2.4;-2.2;1.5;5.9;4.8;10.2;18.4;14.6;11.3;8.5;2.3;4.1;-2.4
C139E;17.8;17.0;19.0;20.4;;22.5;23.8;24.5;24.6;23.3;19.8;19.9;
C449C;18.3;17.2;20.5;21.9;22.5;23.5;25.8;26.2;26.5;24.4;18.9;20.1;17.2
C447A;12.1;11.1;14.3;16.9;17.7;19.0;19.6;21.2;21.9;19.8;14.5;14.9;11.1
C429I;18.9;19.3;21.6;22.3;;24.5;25.5;25.2;26.7;25.2;21.3;20.8;
2465;-2.2;5.6;6.1;11.0;12.0;18.4;18.9;22.9;18.6;15.2;1.6;4.6;-2.2
5796;9.0;14.2;15.3;22.0;21.5;24.1;31.2;29.8;24.2;23.1;13.8;15.8;9.0
5783;8.3;14.4;;21.2;21.1;25.2;;31.2;;;14.1;;
2030;-2.2;5.8;5.9;8.3;8.9;16.8;18.4;22.4;17.1;12.6;3.3;4.7;-2.2
0016A;5.7;11.0;;13.4;17.6;25.3;28.2;24.9;24.2;20.4;10.8;11.7;
9981A;3.3;10.6;12.0;12.5;18.2;24.2;28.6;23.7;21.7;20.1;8.1;7.3;3.3
9381I;-5.3;8.9;6.3;9.9;12.3;17.9;22.0;23.7;18.1;16.2;3.0;5.9;-5.3
8368U;-2.2;9.2;7.2;11.9;13.2;19.9;23.9;25.7;20.3;17.9;5.4;6.8;-2.2
3260B;0.9;11.8;12.7;13.1;18.3;20.2;25.8;29.6;;17.0;6.8;;
8416;7.0;14.5;12.0;13.0;17.5;22.6;26.0;26.4;24.4;19.2;13.2;13.6;7.0
8414A;6.3;15.0;12.0;12.8;17.2;23.1;26.3;27.2;23.2;19.2;12.9;13.4;6.3
2422;-1.1;7.7;9.3;11.5;14.9;19.0;21.8;25.2;18.6;15.1;4.1;3.9;-1.1
2539;-1.1;6.8;8.2;10.8;12.5;19.8;21.9;24.1;17.5;14.1;3.9;6.1;-1.1
2614;-2.1;7.6;11.2;10.1;14.9;20.5;24.0;25.7;17.5;15.1;5.5;6.0;-2.1
9390;-1.4;8.9;7.6;10.9;12.8;18.9;23.0;24.3;19.1;16.9;4.1;6.9;-1.4
9434;0.4;11.9;11.3;11.3;14.6;21.2;23.5;26.3;22.0;16.8;7.6;2.8;0.4
