date,value
2019-10-18,18.6
2019-10-19,20.1
2019-10-20,19.4
2019-10-21,28.4
2019-10-22,31.2
2019-10-23,50.9
2019-10-24,45.9
2019-10-25,34.7
2019-10-26,20.9
2019-10-27,11.3
2019-10-28,13.3
2019-10-29,18.3
2019-10-30,30.8
2019-10-31,46.1
2019-11-01,32.6
2019-11-02,18.4
2019-11-03,18.3
2019-11-04,15.4
2019-11-05,14.9
2019-11-06,17.4
2019-11-07,21.8
2019-11-08,36.0
2019-11-09,28.2
2019-11-10,19.5
2019-11-11,25.0
2019-11-12,18.0
2019-11-13,11.9
2019-11-14,18.4
2019-11-15,24.7
2019-11-16,18.0
2019-11-17,19.8
2019-11-18,19.0
2019-11-19,23.5
2019-11-20,40.0
2019-11-21,34.1
2019-11-22,23.8
2019-11-23,28.6
2019-11-24,28.2
2019-11-25,49.1
2019-11-26,43.9
2019-11-27,26.9
2019-11-28,13.9
2019-11-29,6.9
2019-11-30,12.1
2019-12-01,31.8
2019-12-02,30.2
2019-12-03,19.7
2019-12-04,26.1
2019-12-05,31.9
2019-12-06,38.5
2019-12-07,11.0
2019-12-08,7.4
2019-12-09,14.7
2019-12-10,20.0
2019-12-11,39.4
2019-12-12,33.5
2019-12-13,28.9
2019-12-14,10.6
2019-12-15,9.8
2019-12-16,25.5
2019-12-17,43.0
2019-12-18,32.5
2019-12-19,57.0
2019-12-20,18.8
2019-12-21,27.3
2019-12-22,37.3
2019-12-23,23.7
2019-12-24,17.0
2019-12-25,12.5
2019-12-26,8.6
2019-12-27,10.4
2019-12-28,9.2
2019-12-29,16.2
2019-12-30,21.5
2019-12-31,13.7
2020-01-01,22.5
2020-01-02,67.5
2020-01-03,46.2
2020-01-04,7.4
2020-01-05,16.2
2020-01-06,19.8
2020-01-07,24.9
2020-01-08,22.3
2020-01-09,15.8
2020-01-10,21.7
2020-01-11,10.9
2020-01-12,18.5
2020-01-13,25.3
2020-01-14,25.5
2020-01-15,23.5
2020-01-16,41.2
